Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;;;;;;;;;;;
OPL_croho_onderdeel_code;CrohoOnderdeelActueleOpleiding;TRUE;numeric;12,5729;0,9;9,9;NA;FALSE;dit was: INS_Opleidingscode_CROHO, heel verwarrende naam, het is croho onderdeel code;;;;;;;;;;
INS_Code_beeindiging_inschrijving;BeeindigingsCode;TRUE;numeric;9,201656;0;9,9;NA;FALSE;;;;;;;;;;;
INS_Type_onderwijs;TypeHogerOnderwijsBinnenSoortHogerOnderwijs;TRUE;subset;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Diplomajaar;Diplomajaar;TRUE;numeric;92,377902;1808,1;2220,9;NA;FALSE;;;;;;;;;;;
INS_Diploma_opleidingsfase;OpleidingsfaseActueelVanHetDiploma;TRUE;subset;92,377902;NA;NA;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste;SoortDiplomaHogerOnderwijsInternatStatistiek;TRUE;numeric;92,377902;0,9;2,2;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste_in_categorie;SoortDiplomaHogerOnderwijs;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste_in_categorie_hoofd_neven;SoortDiplomaSoortHogerOnderwijs;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;;;;;;;;;;
INS_Diploma_eerste_bij_instelling_hoofd_neven;SoortDiplomaInstelling;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;;;;;;;;;;
DEM_Geslacht_code;Geslacht;TRUE;subset;9,201656;NA;NA;NA;FALSE;;;;;;;;;;;
DEM_Leeftijd_peildatum_1_oktober;LeeftijdPerPeildatum1Oktober;TRUE;numeric;9,201656;12,6;88;NA;FALSE;;;;;;;;;;;
DEM_Leeftijd_peildatum_1_jan;LeeftijdPer1Januari;TRUE;numeric;9,201656;12,6;88;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_1;Nationaliteit1;TRUE;numeric;9,279147;0,9;548,9;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_2;Nationaliteit2;TRUE;numeric;103,681554;24,3;548,9;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_3;Nationaliteit3;TRUE;integer;119,031497;26,1;550;NA;FALSE;;;;;;;;;;;
INS_Postcode_student_1okt_peildatum;PostcodecijfersStudentOp1Oktober;TRUE;integer;9,800412;9;10973,6;NA;FALSE;;;;;;;;;;;
INS_Vooropleiding_voor_HO_gem_cijfer;GemEindcijferVoVanDeHoogsteVooroplVoorHetHo;TRUE;numeric;37,923932;51,3;104,5;NA;FALSE;;;;;;;;;;;
INS_Datum_inschrijving;DatumInschrijving;TRUE;character;9,201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;;;;;;;;;;;
INS_Datum_uitschrijving;DatumUitschrijving;TRUE;character;9,201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;;;;;;;;;;;
INS_Verblijfsjaar_type_onderwijs_binnen_HO;VerblijfsjaarTypeHoBinnenSoortHo;TRUE;numeric;15,040618;0,9;27,4;NA;FALSE;;;;;;;;;;;
INS_Postcode_student_voor_HO;PostcodecijfersVanDeHoogsteVooroplVoorHetHo;TRUE;integer;29,360814;9;10996,7;NA;FALSE;;;;;;;;;;;
INS_Maand_inschrijving_van;MaandVanaf;TRUE;numeric;9,201656;0,9;13,2;NA;FALSE;;;;;;;;;;;
INS_Maand_inschrijving_tot;MaandTot;TRUE;numeric;107,018845;0,9;13,2;NA;FALSE;;;;;;;;;;;
INS_Maand_examenresultaat;MaandExamenresultaat;TRUE;numeric;92,377902;0,9;13,2;NA;FALSE;;;;;;;;;;;
INS_Croho_sub_onderdeel;CrohoSubonderdeelActueleOpleiding;TRUE;numeric;9,201656;1,8;39,6;NA;FALSE;;;;;;;;;;;
INS_Verblijfsjaar_type_onderwijs;VerblijfsjaarTypeHoBinnenSoortHo;TRUE;numeric;15,040618;0,9;24,2;NA;FALSE;;;;;;;;;;;
DEM_Nationaliteit_EER_naam;;FALSE;subset;0;NA;NA;NA;FALSE;;;;;;;;;;;
DEM_Indicatie_nationaliteit_EER_actueel;IndicatieEerActueel;TRUE;character;0;;;;FALSE;;;;;;;;;;;
DEM_Indicatie_nationaliteit_EER_peildatum;IndicatieEerOpPeildatum1Oktober;TRUE;character;0;;;;FALSE;;;;;;;;;;;
DEM_Indicatie_internationale_student;IndicatieInternationaleStudent;TRUE;character;0;;;;FALSE;;;;;;;;;;;
INS_Actuele_instelling;ActueleInstelling;TRUE;;;;;;;;;;;;;;;;;Inschrijvingsvorm
INS_Opleidingscode;Opleidingscode;TRUE;;;;;;;;;;;;;;;;;SoortHogerOnderwijs
INS_Vorm;Inschrijvingsvorm;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_hoger_onderwijs;SoortHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;DiplomajaarVanDeHoogsteVooroplBinnenHetHo
OPL_code_historisch;OpleidingHistorischEquivalent;TRUE;;;;;;;;;;;;;;;;;GeboortelandOuder1
OPL_Fase;Opleidingsfase;TRUE;;;;;;;;;;;;;;;;;GeboortelandOuder2
INS_Soort_inschrijving_soort_HO;SoortInschrijvingSoortHo;TRUE;;;;;;;;;;;;;;;;;Etniciteit
INS_Soort_inschrijvinge_type_HO_binnen_soort_HO;SoortInschrijvingTypeHoBinnenSoortHo;TRUE;;;;;;;;;;;;;;;;;Generatie
INS_Soort_inschrijving_opleiding_actueel;SoortInschrijvingOpleidingActueelEquivalent;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaHogerOnderwijsInternatStatistiek
INS_Soort_inschrijving_actuele_opleiding_instelling;SoortInschrijvingActueleOpleidingInstelling;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaHogerOnderwijs
DEM_Geboorteland;Geboorteland;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaSoortHogerOnderwijs
DEM_Geboorteland_ouder_1;GeboortelandOuder1;TRUE;;;;;;;;;;;;;;;;;SoortDiplomaInstelling
DEM_Geboorteland_ouder_2;GeboortelandOuder2;TRUE;;;;;;;;;;;;;;;;;DatumTekeningDiploma
DEM_Etniciteit;Etniciteit;TRUE;;;;;;;;;;;;;;;;;
DEM_Generatie;Generatie;TRUE;;;;;;;;;;;;;;;;;
INS_Inschrijvingsjaar_EI_gecorrigeerd;GecorrigeerdEersteJaarAanDezeInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Inschrijvingsjaar_EI_actuele_instelling;EersteJaarAanDezeActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_actuele_instelling_type_HO_binnen_soort_HO;SoortInschrijvingActInstTypeHoBinnenSoortHo;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaar_actuele_instelling_type_HO_binnen_soort_HO;IndicatieEerstejrsActInstTypeHoBinnenSoortHo;TRUE;;;;;;;;;;;;;;;;;
OPL_Actuele_instelling_voor_besturenfusies;ActueleInstellingVoorBesturenfusies;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_type_HO_binnen_HO;SoortInschrijvingTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_type_HO_binnen_HO;VerblijfsjaarTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_continu_HO;SoortInschrijvingContinuHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_continu_soort_HO;SoortInschrijvingContinuSoortHo;TRUE;;;;;;;;;;;;;;;;;
INS_Soort_inschrijving_continu_actuele_instelling;SoortInschrijvingContinuActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
