Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;;
INS_Diploma_eerste_in_categorie_hoofd_neven;INS_Diploma_eerste_in_categorie_hoofd_neven;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;
INS_Diploma_eerste_bij_instelling_hoofd_neven;INS_Diploma_eerste_bij_instelling_hoofd_neven;TRUE;numeric;92,377902;2,7;99;NA;FALSE;;
DEM_Geslacht;DEM_Geslacht;TRUE;subset;9,201656;NA;NA;NA;FALSE;;
DEM_Leeftijd_peildatum_1_oktober;DEM_Leeftijd_peildatum_1_oktober;TRUE;numeric;9,201656;12,6;88;NA;FALSE;;
DEM_Leeftijd_peildatum_1_jan;DEM_Leeftijd_peildatum_1_jan;TRUE;numeric;9,201656;12,6;88;NA;FALSE;;
DEM_Nationaliteit_1;DEM_Nationaliteit_1;TRUE;numeric;9,279147;0,9;548,9;NA;FALSE;;
DEM_Nationaliteit_2;DEM_Nationaliteit_2;TRUE;numeric;103,681554;24,3;548,9;NA;FALSE;;
DEM_Nationaliteit_3;DEM_Nationaliteit_3;TRUE;integer;119,031497;26,1;550;NA;FALSE;;
INS_Postcode_student_1okt_peildatum;INS_Vooropleiding_voor_HO_postcode_woonadres;TRUE;integer;9,800412;9;10973,6;NA;FALSE;;
INS_Vooropleiding_voor_HO_gem_cijfer;INS_Vooropleiding_voor_HO_gem_cijfer;TRUE;numeric;37,923932;51,3;104,5;NA;FALSE;;
INS_Datum_inschrijving;INS_Datum_inschrijving;TRUE;character;9,201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;;
INS_Datum_uitschrijving;INS_Datum_uitschrijving;TRUE;character;9,201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;;
INS_Verblijfsjaar_type_onderwijs_binnen_HO;INS_Verblijfsjaar_type_onderwijs_binnen_HO;TRUE;numeric;15,040618;0,9;27,4;NA;FALSE;;
INS_Postcode_student_voor_HO;INS_Vooropleiding_voor_HO_postcode_student;TRUE;integer;29,360814;9;10996,7;NA;FALSE;;
INS_Maand_inschrijving_van;INS_Maand_inschrijving_van;TRUE;numeric;9,201656;0,9;13,2;NA;FALSE;;
INS_Maand_inschrijving_tot;INS_Maand_inschrijving_tot;TRUE;numeric;107,018845;0,9;13,2;NA;FALSE;;
INS_Maand_examenresultaat;INS_Maand_examenresultaat;TRUE;numeric;92,377902;0,9;13,2;NA;FALSE;;
INS_Croho_sub_onderdeel;INS_Croho_sub_onderdeel;TRUE;numeric;9,201656;1,8;39,6;NA;FALSE;;
INS_Verblijfsjaar_type_onderwijs;INS_verblijfsjaar_type_onderwijs;TRUE;numeric;15,040618;0,9;24,2;NA;FALSE;;
DEM_Nationaliteit_EER_naam;INS_EER;TRUE;subset;0;NA;NA;NA;FALSE;;
DEM_Indicatie_nationaliteit_EER_actueel;INS_Ind_intern_ student;TRUE;character;0;;;;FALSE;;Indicatie EER actueel
DEM_Indicatie_nationaliteit_EER_peildatum;INS_Ind. EER stud.  1okt;TRUE;character;0;;;;FALSE;;Indicatie internationale student
DEM_Indicatie_internationale_student;INS_Ind. EER student;TRUE;character;0;;;;FALSE;;Indicatie EER peildatum
