from;to
04329;Plantenteelt
04330;Veehouderij
04331;Biotechnologie
04332;Aquatische ecotechnologie
04333;Diermanagement
04334;Agrarische accountancy
04335;Milieutechnologie
04336;Opleiding voor beroepen op het terrein van architectuur (tweede fase-opleiding)
04337;Opleiding voor beroepen op het terrein van landschapsarchitectuur (tweede fase-opleiding)
04338;Opleiding voor beroepen op het terrein van stedebouw (tweede fase-opleiding)
04349;Hoger Elektronicus
04353;Navigatie
04356;Scheepswerktuigkundige c deel 2
04357;Scheepswerktuigkunde
04358;Scheepswerktuigkundige a
04359;Scheepswerktuigkundige b deel 2
04360;Scheepsradiocommunicatie
04362;2e stuurman
04363;1e stuurman
04364;Scheepswerktuigkundige b deel 1
04365;Scheepswerktuigkundige c deel 1
04366;Leraar nautisch onderwijs eerste graad in radiokunde
04367;Vliegtuigoperatie
04368;3e stuurman (bevarenen)
04369;Alg.operationele technologie
04371;Verkeerskunde
04372;Vervoerskunde (oud)
04373;Vervoerskunde
04374;Haven- en vervoerskunde
04375;Logistiek management
04378;Kort HBO Facility Management
04379;Petroleum - en gastechnologie
04380;Propedeuse hoger nautisch onderwijs
04381;Planologie
04382;Technische vervoerskunde
04383;Semi-geintegreerd officier
04384;Maritiem officier
04385;Maritieme bedrijfsvoering
04386;AOT - techniek
04387;Aot-haventechnologie
04388;Aot-maritieme bedrijfsvoering
04389;Industrieel produkt ontwerpen
04390;Logistiek en technische vervoerskunde
04391;Milieugerichte materiaaltechnologie
04393;Logistiek en Vervoer
04394;Management Documentaire Informatievoorziening (HMDI)
04396;Chemie
04397;Biologie en medisch laboratoriumonderzoek
04398;Informatievoorziening en Communicatie
04399;Commerciele Economie van het Vervoer
04400;Propedeuse heao
04401;Bedrijfseconomie
04402;Commerciele economie
04403;Algemene juridische economie
04404;Bedrijfskundige informatica
04405;Communicatie
04406;Accountancy
04407;International Business and Languages
04408;Bestuurskunde
04409;Fiscale economie
04410;Hoger Toeristisch en Recreatief Onderwijs
04411;Hoger hotelonderwijs
04412;Toerisme (3-jarig)
04414;Hoger Onderwijs Financiele en Zakelijke Dienstverlening
04416;Hoger distributie onderwijs
04417;Openbaar bestuur
04418;Bedrijfsadministratie
04419;Hogere Europese beroepenopleiding
04420;Communicatiesystemen
04421;Technische bedrijfskunde
04422;Small business en Retail Management
04423;Management informatica
04424;Kort HBO Toeristisch en recreatief onderwijs
04425;Kort HBO Bedrijfskundige Informatica
04426;SPD bedrijfsadministratie
04430;Communicatiesystemen
04431;Communicatiemanagement (3-jarig)
04432;Food & Business
04433;Kort HBO facilitaire dienstverlening
04435;Opleiding voor Management, Economie en Recht
04436;Logistiek en economie
04438;Vrijetijdsmanagement
04439;Rangenopleidingen
04442;SPD accountant administratieconsulent
04448;Bedrijfsmanagement
04456;Orientaalse talen en communicatie
04457;Marketing en Sales
04460;Marketing management (2-jarig)
04463;Marketing en Public Relations
04464;Bestuurskunde/overheidsmanagement
04469;Controller
04470;Financieel management (MBA/SPD) (3-jarig)
04471;Hogere opleiding theologie
04472;HTO Elektronicatechniek
04473;HTO Milieu en Cultuurtechniek
04474;HTO Besturingstechnologie
04475;HTO Technische Informatica
04476;HTO Technisch Chemicus
04477;Laborant klinische neurofysiologie
04478;HBO marketing
04479;HBO informatica
04480;HBO management
04481;Kort HBO management
04482;Kort HBO marketing management
04483;Kort HBO vertaler engels
04484;Accountant administratieconsulent
04485;Opleiding tot tolk Spaans
04486;Opleiding tot vertaler Spaans
04487;Tweedegraads lerarenopleiding Esperanto
04489;Opleiding tot vertaler
04490;Opleiding tot tolk
04493;AA-Dagopleiding
04496;Assistent-controller
04497;Communicatie Copywriting
04498;Corporate Communicatie
04499;Economische Bedrijfskunde
04500;Facility Management
04501;Jeugdwelzijnswerk
