from;to
01309;hbo-pim techniek
01310;hbo-pim natuur
01311;hbo-pim sectoroverstijgend
01351;wo-pim algemeen
01352;wo-pim taal en cultuur
01353;wo-pim gedrag en maatschappij
01354;wo-pim economie
01355;wo-pim recht
01356;wo-pim gezondheidszorg
01357;wo-pim onderwijs
01358;wo-pim landbouw
01359;wo-pim techniek
01360;wo-pim natuur
01361;wo-pim sectoroverstijgend
