from;to
a;Diploma Eigen instelling
b;Diploma Eigen instelling
c;Diploma Eigen instelling
d;Diploma Eigen instelling
e;Diploma Eigen instelling
f;Diploma Eigen instelling
g;Diploma Universiteit NL
h;Diploma Universiteit NL
i;Diploma Universiteit NL
j;Diploma Universiteit NL
k;Diploma HBO
l;Diploma Eigen instelling
p;Diploma Universiteit NL
x;Geen diploma
