from;to
O;Oude stijl
P;Premaster
1;1e fase (WO)
2;2e fase
I;Initiële opleiding
V;Vervolgopleiding
K;Kandidaatsfase
D;Propedeues bachelor
B;Bachelor
M;Master
A;Associate degree
T;Tussentijds doctoraal
Q;Post-Initiële master
